急性單關節炎需首先排除何種情況？	化膿性關節炎
主動脈剝離的紅旗警訊有哪些？	突發撕裂痛、前胸↔背移動、兩側血壓差 >20 mmHg
肺栓塞的典型症狀是什麼？	胸膜性痛、呼吸急促、tachycardia、單側腿腫
心包填塞的紅旗警訊有哪些？	低血壓 + 頸靜脈怒張 + 心音遙遠；奇脈
急性冠心症（ACS）的 HEART 分數 7-10 被視為何種風險？	高風險
ADD-RS 索引分數 ≥2 表示什麼？	高風險，需直接 CTA / 定義性影像
急性冠心症（ACS）的 HEART 分數 4-6 被視為何種風險？	中風險
發燒、腰痛和頻尿應先排除何病？	急性腎盂腎炎 / 尿敗血症
無痛性血尿伴隨頻尿和體重減輕可能為何？	膀胱癌等泌尿道惡性腫瘤
神經學缺損、鞍區麻木或尿滯留/溢尿提示何病？	脊髓 / 馬尾病變（神經性膀胱）
多喝多尿伴體重減輕和意識改變提示何病？	新發糖尿病 / 糖尿病酮酸中毒
頻尿在育齡女性應先驗什麼試驗？	尿妊娠試驗
老年男性頻尿伴解不出來可能為何？	溢流型尿滯留，注意不要誤診為單純頻尿
急性尿敗血症的初步治療是什麼？	抽血+血/尿培養、輸液、經驗性抗生素（依院內指引）
IPSS總分8-19分，應如何處理？	藥物治療（α-blocker / 5-ARI，依科別建議）
IPSS總分20-35分，應如何處理？	積極藥物+評估手術、泌尿科轉診
頻尿伴發燒和腰痛提示何病？	急性腎盂腎炎 / 尿敗血症
慢性咳嗽的紅旗警訊有哪些？	咳血、體重減輕、喘、燒、異物、心
急性咳嗽伴發症狀有哪些？	呼吸窘迫/低血氧
慢性咳嗽患者一定要做什麼檢查？	胸片
TB 7 分篩檢法的分數是多少時需高度警覺 TB？	≥5 分
CURB-65 中的 C 是指什麼？	Confusion 新出現意識混亂
慢性咳嗽三巨頭是哪三個疾病？	上呼吸道咳嗽症候群、氣喘、胃食道逆流
急性感染時 CURB-65 分數多少建議住院或密切觀察？	2 分
慢性咳嗽患者常見的病因有哪些？	上呼吸道咳嗽症候群、氣喘、胃食道逆流
肺結核 7 分篩檢法中哪些項目各得 1 分？	咳嗽（有痰）、咳嗽超過 2 周、體重減輕、沒有食慾、胸痛
慢性咳嗽患者治療反應無效時，下一步應做什麼檢查？	胸部 CT / 支氣管鏡
多尿的紅旗警訊有哪些？	糖尿病酮酸血症、高血糖高滲透壓、重度高血鈉、高血鈣危象、中樞性尿崩
先驗檢查應該做什麼？	指尖血糖 + 抽血鈉/鈣
多尿的常見原因是什麼？	糖尿病
鑑別診斷時，如何區分滲透性利尿和水利尿？	通過尿滲透壓檢查
中樞性尿崩症的主要治療藥物是什麼？	desmopressin (dDAVP)
高血鈣危象的臨床表現有哪些？	多尿、便秘、意識混亂、心律失常
術後的稀尿和血鈉快速上升應考慮什麼？	中樞性尿崩症
鑑別診斷時，如何區分原發性多飲與中樞性尿崩症？	desmopressin 挑戰反應
血鈉偏高的患者傾向於哪種疾病？	尿崩症（DI）
水剝奪試驗的脫水風險如何監測？	嚴密監測血鈉、體重和生命體徵
休克的紅旗警訊是什麼？	低血壓（MAP < 65）+ 組織低灌流徵象
休克分為哪四種型態？	低容積、心因性、阻塞、分佈性
RUSH POCUS 的順序是什麼？	Pump-Tank-Pipes
休克的 SI 值正常範圍是多少？	< 0.7
qSOFA 指標總分多少時需高度警覺敗血症風險？	≥2
低容積型休克的主要支持特徵是什麼？	前負荷↓、CO↓、SVR↑、四肢冷；IVC 塌陷
心因性休克的主要支持特徵是什麼？	前負荷↑（肺水腫、頸靜脈怒張）、CO↓、SVR↑、四肢冷
阻塞型休克的常見病因有哪些？	張力性氣胸、心包填塞、大量肺栓塞
分佈性休克的主要支持特徵是什麼？	前負荷↓/正常、CO↑（早期）、SVR↓、四肢暖
休克初期的目標 MAP 是多少？	≥ 65 mmHg
吞嚥困難的紅旗警訊	進行性、減重、血、卡、嗆
食道癌的主要症狀	進行性固體→液體吞嚥困難，體重減輕
急性完全性食物梗塞的處理	NPO + 急診內視鏡取出
體重減輕和貧血是什麼警訊？	惡性警訊
嗆咳/誤吸的風險因素有哪些？	中風、神經退化
口咽型吞嚥困難的病因	中風、運動神經元疾病、重症肌無力等
食道型吞嚥困難的常見病因	食道癌/惡性狹窄，食物梗塞，良性狹窄等
EAT-10評分≥3的意義	提示吞嚥效率或安全異常，需進一步評估
GUSS評分20分表示什麼？	無/輕微風險，可正常飲食
機械性 vs 動力性定位的首選檢查	只卡固體、進行性→EGD + 切片；固體+液體皆卡→鋇劑攝影 + HRM
GCS <8 表現	保護呼吸道、插管
瞳孔不等大表示	天幕疝脫（uncal herniation）
Cushing 三徵指什麼	高血壓 + 心搏過緩 + 呼吸不規則
顱底骨折典型症狀	熊貓眼、Battle sign、耳/鼻漏 CSF、鼓室積血
抗凝患者頭部外傷應如何處理	放寬 CT 標準
硬腦膜上腔出血典型症狀	顳骨骨折 + 中腦膜動脈、lucid interval、CT 凸透鏡（biconvex）不越縫合線
硬腦膜下腔出血支持特徵	老人 / 抗凝 / 酗酒、橋靜脈、CT 新月形（crescent）越縫合線
蛛網膜下腔出血支持特徵	劇烈頭痛、頸僵、CT 陰性
腦挫傷/出血 contusion 特點	對衝傷（contrecoup）、局部神經缺損、CT 陰性
瀰漫性軸突損傷 DAI 分流標準	MRI 陰性
馬尾症候群的紅旗警訊有哪些？	鞍區麻木、雙側坐骨神經痛、尿滯留/失禁、大便失禁、肛門張力↓
脊椎硬膜外膿瘍的紅旗警訊有哪些？	發燒+背痛+神經缺損、IVDU/免疫低下、近期感染/手術、結核（Pott）
惡性腫瘤骨轉移的紅旗警訊有哪些？	年齡>50、癌症史、夜間痛/休息不緩解、體重減輕
脊椎壓迫性骨折的紅旗警訊有哪些？	高齡/骨鬆/類固醇/創傷、突發劇痛
腹主動脈瘤或主動脈剝離的紅旗警訊有哪些？	撕裂痛、搏動性腫塊、低血壓
非特異性機械性下背痛的支持特徵有哪些？	活動加劇/休息緩解、無神經缺損、無紅旗、自限
椎間盤突出或神經根病變的支撐症狀有哪些？	放射至下肢皮節（L5/S1 最常見）、SLRT(+)、麻木/無力
僵直性脊椎炎的紅旗警訊有哪些？	發炎性背痛（晨僵>30min、活動改善、半夜痛）
初步工作up中，有紅旗時應開哪些檢查？	MRI（cauda equina / 膿瘍 / 轉移 / 脊髓壓迫首選）
無紅旗的急性下背痛 6 個月內不需常規影像，但有哪種情況例外？	鞍區麻+解尿障礙
意識障礙的紅旗警訊先做什麼？	ABC + 指尖血糖
AEIOU-TIPS 中 A 為何？	酒精、酒精戒斷、貧血
代謝性昏迷常見於哪種電解質異常？	電解質不平衡（Na/Ca）
低血糖的 GCS 分數範圍是？	<8
FOUR Score 中哪一項評估腦幹反射？	Brainstem
急性癲癇狀態（NCSE）需做何檢查？	EEG
中風溶栓的 LKW 時間窗是？	3 小時內
哪種昏迷會出現撲翼樣震顫？	代謝性
急性發燒、頸僵、意識改變，疑何病？	腦膜炎/腦炎
低血糖的急救順序是？	thiamine → 葡萄糖
大量咳血定義	>600 cc/24h 或 >100–150 cc/h
大量咳血的死因	窒息（asphyxiation）
低血氧症狀	呼吸窘迫 / 意識改變
急性腎損傷與咳血相關疾病	肺腎症候群 (Goodpasture’s syndrome, Wegener’s granulomatosis)
VITAMIN 系統性思考中的血管類疾病	動靜脈血管畸形、心臟衰竭、肺栓塞
咳血 vs 吐血 vs 假性咳血的區別	咳血=鮮紅帶泡沫、鹼性；吐血=暗紅/咖啡渣、酸性；假性=鼻咽/上呼吸道來源
急性腎損傷與哪些疾病相關	肺腎症候群 (Goodpasture’s syndrome, Wegener’s granulomatosis)
大量咳血的初步處置	保護呼吸道、bad lung down、大 IV、備血
非大量咳血的處理	保守治療 + 找病因
咳嗽帶血絲定義	輕微 (mild) 嚴重度分級
紅旗警訊中高血糖兩大急症是哪兩個？	DKA、HHS
昏迷或意識改變病人首先應該做什麼？	fingerstick 血糖
低血糖的 Whipple 三徵包含哪些內容？	交感（冒冷汗等）、低血糖值、給糖緩解
DKA 的 pH 規範是什麼？	<7.3
HHS 的血漿滲透壓通常超過多少？	>320 mOsm/kg
DKA 和 HHS 在血糖上的區別是？	DKA 一般 <600，HHS 常 >600
DKA 的治療首選為何？	大量生理食鹽水
低血鉀時是否可以給胰島素？	不可以
HHS 治療中補液的目的是什麼？	緩慢矯正滲透壓，避免腦水腫
DKA 重度分級的 pH 下限是多少？	<7.00
發燒病人 qSOFA ≥2 的指標有哪些？	意識改變、低血壓（<100 mmHg）、呼吸次數≥22/min
疑似敗血症的紅旗警訊是什麼？	qSOFA ≥2 或休克徵象
嗜中性球低下發燒應立即給予何種抗生素？	廣效經驗性抗生素，含抗綠膿桿菌
敗血症黃金第一步是什麼？	抽兩套血培養（不同部位）並驗 lactate
懷疑腦膜炎時應先做何種檢查？	腰椎穿刺（LP），有意識改變/局部神經缺損先做腦部影像
急性膽管炎的典型症狀是什麼？	Charcot 三徵：發燒+黃疸+右上腹痛
敗血性休克的定義是什麼？	需升壓劑維持 MAP ≥65 mmHg ＋ lactate >2 mmol/L（已充分液體復甦後）
發燒病人找感染灶時，哪些情況應考慮皮膚軟組織感染？	疼痛不成比例、皮膚瘀黑/水泡、捻髮音、毒性外觀
急性心內膜炎的典型症狀有哪些？	新雜音、栓塞徵象、持續菌血症、IVDU/瓣膜病史
發燒病人退燒藥反應如何？	退燒藥無效常暗示菌血症
非預期體重減輕的定義是什麼？	6–12 個月內體重掉 > 5% 或 > 4.5 kg
哪些情況屬於快速 / 大幅減輕？	短期掉很多，且食慾明顯改變
非預期體重減輕的紅旗警訊有哪些？	年齡 > 50、貧血 / 缺鐵、上消化道出血 / 血便、吞嚥困難、淋巴結腫大、腫塊、夜間盜汗
非預期體重減輕的鑑別診斷主要分為哪八大類？	癌·內分泌·腸胃·感染·精神·慢病·藥物·社會
惡性腫瘤警訊有哪些特徵？	年齡 > 50、貧血 / 缺鐵、上消化道出血 / 血便、吞嚥困難、淋巴結腫大、腫塊、夜間盜汗
內分泌代謝疾病如何鑑別診斷？	甲亢：怕熱手抖心悸 + 食慾↑卻變瘦；DM：吃多喝多尿多（連多尿）
腸胃道疾病的常見支持特徵有哪些？	腹痛腹瀉、脂肪便、食慾差、消化道症狀
慢性感染的常見疾病是哪些？	結核病、人類免疫缺乏病毒、C型肝炎、寄生蟲
精神 / 認知疾病的常見支持特徵有哪些？	情緒 / 食慾 / 認知改變、進食行為異常
嚴重慢性病的常見疾病是哪些？	心臟衰竭、慢性阻塞性肺病、CKD、肝硬化
下消化道出血紅旗警訊？	血流動力學不穩
快速血便可能是什麼？	上消化道大出血
缺血性大腸炎的關鍵症狀？	突發腹絞痛 + 血便
抗凝/抗血小板相關出血，首先要問什麼？	有沒有用抗凝血/抗血小板/NOAC
鮮紅血便不一定是下消化道出血？	快速上消化道大出血也可能鮮紅
Oakland Score 分數多少可考慮安全出院？	≤8分
BUN/Cr比值升高提示什麼？	上消化道大出血
CTA/介入栓塞適用於哪種情況？	不穩且持續出血
DRE+糞便檢查主要看什麼？	血色、潛血
門診處理的Oakland Score分數上限是多少？	8分
無痛性肉眼血尿主要見於何種疾病？	泌尿道惡性腫瘤
發燒、腰痛及血尿可能指示哪種急性症狀？	急性腎盂腎炎
凝塊伴隨血尿提示哪些情況？	膀胱填塞
血尿伴有高血壓、水腫和蛋白尿，最可能的疾病是？	腎絲球腎炎
肉眼血尿與顯微血尿如何區分？	肉眼血尿為肉眼可見，顯微血尿需鏡檢確認
假性血尿常見於哪些情況？	食物、藥物（如rifampin）、肌紅蛋白尿、血紅素尿
AUA分層中低風險的定義是？	女<50歲/男<40歲，從不抽菸或<10包年，3-10 RBC/HPF，無其他危險因子
高血壓、水腫和蛋白尿支持哪種疾病診斷？	腎絲球腎炎
泌尿科性血尿常見於哪些部位？	膀胱、尿道、攝護腺
急性腎盂腎炎的典型症狀是？	發燒+腰痛+血尿
